X0 X0.1 X1 X0.2 X0.3 X0.4 X0.5 X0.6 cfr id
0 0 1 0 0 0 0 0 0.00389898456051014 100001
0 2 1 0 0 0 1 0 0.00724247004545759 100002
0 0 5 1 0 0 0 0 0.00778617949981708 100003
0 0 0 0 0 0 1 0 0.00155092228960712 100004
0 0 0 0 0 0 0 0 0.000235910373157822 100005
0 0 0 0 1 0 0 0 0.0022445540089393 100006
0 0 0 0 0 0 0 0 0.0013635830313433 100007
0 1 0 0 0 0 0 0 0.00234838048054371 100008
0 0 0 0 0 0 0 0 0.00141597473120783 100009
0 0 1 1 0 1 0 0 0.00342435763741378 100010
0 0 1 0 0 0 0 0 0.000399980321526527 100011
0 0 2 0 1 0 0 0 0.00887034135812428 100012
0 0 0 0 0 2 1 0 0.0108714279747801 100013
0 1 1 1 1 1 0 0 0.0112511500221444 100014
0 0 0 0 0 0 0 0 0.00354651381203439 100015
1 0 1 2 2 0 0 0 0.0113930099032586 100016
0 0 0 1 1 1 0 0 0.00683452689554542 100017
0 0 0 0 0 0 0 0 0.00732480403094087 100018
0 0 1 0 1 0 1 0 0.0112952712603146 100019
1 0 1 1 0 0 1 0 0.00563533662061673 100020
0 0 1 1 0 0 0 0 0.00894668936962262 100021
0 0 0 0 0 0 0 0 0.0012566215969855 100022
0 0 0 1 0 0 0 0 0.00151467559044249 100023
1 0 1 0 0 3 0 0 0.0119738280278398 100024
2 1 1 0 1 0 0 0 0.0112277947220718 100025
2 0 0 0 0 0 0 0 0.00469592979934532 100026
0 1 0 2 1 0 0 0 0.0107882685755612 100027
2 1 0 0 1 1 0 0 0.00792941154504661 100028
0 0 0 0 0 0 0 0 0.00526075007219333 100029
1 0 0 2 0 0 0 0 0.00359720571141224 100030
0 0 0 0 0 0 1 0 0.00152499349205755 100031
0 0 0 0 0 0 0 0 0.000368810031795874 100032
0 0 0 0 0 0 0 0 0.00168184095527977 100033
0 0 0 1 0 1 0 0 0.00950914859131444 100034
0 1 0 0 1 1 0 0 0.00426763755676802 100035
0 1 1 1 0 0 0 0 0.0052610170096159 100036
0 0 0 0 1 0 0 0 0.0058225816115737 100037
0 0 3 2 1 0 0 0 0.00747960980224889 100038
1 1 1 0 0 0 0 0 0.0069701807689853 100039
0 1 0 0 0 0 0 0 0.00787580862524919 100040
0 0 0 0 0 1 1 0 0.00812848202476744 100041
0 2 0 0 0 0 0 0 0.005550765740918 100042
1 0 0 0 0 1 0 0 0.00625187653640751 100043
0 1 1 0 1 0 0 0 0.00468062837608159 100044
0 2 1 1 0 0 0 0 0.0107945750583895 100045
1 1 0 1 1 0 1 0 0.00820083517173771 100046
0 2 1 1 1 0 0 0 0.00914005828672089 100047
0 0 2 1 1 0 1 0 0.0112267304211855 100048
2 1 1 1 0 0 0 0 0.00442313009989448 100049
2 0 0 0 0 1 0 0 0.00760202647652477 100050
0 0 1 0 0 0 0 0 0.00468150874075945 100051
0 1 0 1 0 0 1 0 0.0124796001793584 100052
0 1 1 1 0 0 0 0 0.0105057834851323 100053
0 0 2 1 0 0 0 0 0.00925803704012651 100054
0 0 0 0 1 0 0 0 0.000377792096696794 100055
0 0 0 0 0 0 0 0 0.00278415340872016 100056
2 1 0 0 0 0 0 0 0.00847786609374452 100057
2 2 1 2 1 1 0 0 0.0102411225030664 100058
0 0 0 0 1 0 0 0 0.006331495163613 100059
0 0 0 0 1 0 0 0 0.0023092871386325 100060
0 0 0 1 0 0 0 0 0.00430652879877016 100061
0 0 0 0 0 1 0 0 0.00410025744640734 100062
0 0 0 1 0 0 0 0 0.00735375627991743 100063
0 0 1 0 1 0 0 0 0.0103905796393519 100064
2 0 1 1 0 0 0 0 0.00773599457461387 100065
0 2 0 0 0 0 0 0 0.00789039867522661 100066
0 0 0 0 0 0 0 0 0.00124074238410685 100067
0 0 1 0 1 0 1 0 0.00952072691579815 100068
0 0 0 0 0 0 1 0 0.00230592593434267 100069
0 0 0 0 0 0 1 0 0.00656321822898462 100070
0 0 0 2 0 2 0 0 0.0114164031401742 100071
0 0 1 1 1 1 1 0 0.00899443254165817 100072
0 0 0 0 0 0 0 0 0.000679585430771112 100073
0 1 0 0 0 0 2 0 0.00985525744617917 100074
0 0 1 0 1 0 0 0 0.00276580623176415 100075
1 0 0 1 0 1 1 0 0.0113067734811921 100076
0 1 0 0 1 0 0 0 0.0117490460252156 100077
0 0 1 0 1 0 0 0 0.00337264627160039 100078
0 0 1 0 2 1 0 0 0.00845286410476547 100079
