Del_C:G_1_NA	Del_C:G_2_NA	Del_C:G_3_NA	Del_C:G_4_NA	Del_C:G_5_NA	Del_C:G_6+_NA	Del_T:A_1_NA	Del_T:A_2_NA	Del_T:A_3_NA	Del_T:A_4_NA	Del_T:A_5_NA	Del_T:A_6+_NA	Ins_C:G_0_NA	Ins_C:G_1_NA	Ins_C:G_2_NA	Ins_C:G_3_NA	Ins_C:G_4_NA	Ins_C:G_5+_NA	Ins_T:A_0_NA	Ins_T:A_1_NA	Ins_T:A_2_NA	Ins_T:A_3_NA	Ins_T:A_4_NA	Ins_T:A_5+_NA	Del_2bp_1_NA	Del_2bp_2_NA	Del_2bp_3_NA	Del_2bp_4_NA	Del_2bp_5_NA	Del_2bp_6+_NA	Del_3bp_1_NA	Del_3bp_2_NA	Del_3bp_3_NA	Del_3bp_4_NA	Del_3bp_5_NA	Del_3bp_6+_NA	Del_4bp_1_NA	Del_4bp_2_NA	Del_4bp_3_NA	Del_4bp_4_NA	Del_4bp_5_NA	Del_4bp_6+_NA	Del_5+bp_1_NA	Del_5+bp_2_NA	Del_5+bp_3_NA	Del_5+bp_4_NA	Del_5+bp_5_NA	Del_5+bp_6+_NA	Ins_2bp_0_NA	Ins_2bp_1_NA	Ins_2bp_2_NA	Ins_2bp_3_NA	Ins_2bp_4_NA	Ins_2bp_5+_NA	Ins_3bp_0_NA	Ins_3bp_1_NA	Ins_3bp_2_NA	Ins_3bp_3_NA	Ins_3bp_4_NA	Ins_3bp_5+_NA	Ins_4bp_0_NA	Ins_4bp_1_NA	Ins_4bp_2_NA	Ins_4bp_3_NA	Ins_4bp_4_NA	Ins_4bp_5+_NA	Ins_5+bp_0_NA	Ins_5+bp_1_NA	Ins_5+bp_2_NA	Ins_5+bp_3_NA	Ins_5+bp_4_NA	Ins_5+bp_5+_NA	Del_2bp_1_1bp	Del_3bp_1_1bp	Del_3bp_1_2bp	Del_4bp_1_1bp	Del_4bp_1_2bp	Del_4bp_1_3bp	Del_5+bp_1_1bp	Del_5+bp_1_2bp	Del_5+bp_1_3bp	Del_5+bp_1_4bp	Del_5+bp_1_5+bp
300:3	0	0	0	0	0	0	3	0	1	7	1	1	0	0	0	0	0	0	0	1	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
300:4	1	0	0	0	0	0	0	2	2	4	4	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
300:7	2	0	2	2	0	0	3	3	1	0	2	2	0	2	0	0	1	0	1	0	0	1	1	5	1	5	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	2	1	1	0
312:2	0	0	0	0	0	0	0	3	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312:3	0	0	0	0	0	0	0	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312:4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312:5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312:6	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312:7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
312:9	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
