"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS10a","SBS10b","SBS11","SBS12","SBS13","SBS14","SBS15","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS20","SBS21","SBS22","SBS23","SBS24","SBS25","SBS26","SBS27","SBS28","SBS29","SBS30","SBS31","SBS32","SBS33","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS42","SBS43","SBS44","SBS45","SBS46","SBS47","SBS48","SBS49","SBS50","SBS51","SBS52","SBS53","SBS54","SBS55","SBS56","SBS57","SBS58","SBS59","SBS60"
"1",0.000886,5.8e-07,0.0208,0.0422,0.012,0.000425,6.7e-05,0.00233,0.00483,4.04e-05,0.0441,0.000558,0.00219,0.000182,0.000146,0.00452,0.00182,0.00112,0.000944,0.016,0.00207,0.000608,0.0515,0.00127,0.000619,0.000157,0.00601,0.000835,0.0364,0.0099,0.000873,0.00521,0.000784,0.0632,0.0018,0.00954,0.0223,0.00311,0.00487,0.00883,0.0252,0.00395,0.0128,0.0117,0.0282,0.00211,0.00116,0.0295,7.68e-18,0.00911,0.0044,0.0678,0.000855,0.0251,0.119,0.140744,0.0152,0.00538,0.00216,0.00588,0.0126,0.0123,0.0589,0.00359,0.00615
"2",0.00228,0.000148,0.0165,0.0333,0.00944,0.000524,0.000179,0.000461,0.00115,0.000765,0.0477595999999996,0.00409,0.00177,0.00654,0.000552,0.00113,0.000721,0.0131,0.000497,0.0029,0.000918,0.000129,0.0158,0.000641,0.00139,0.00236,9.54e-05,0.000399,0.0265,0.007,0.000528,0.00474,0.00253,0.0512,0.000506,0.0185,0.0188,0.00223,0.00696,0.0462,0.00832,0.00145,0.0101,0.00715,0.0134,0.00122,0.0206,0.0059,0.00015,0.00285,0.0047,0.0297,0.000841,0.00703,0.1270023,0.00169,0.00654,0.00196,0.000796,0.00205,0.0157,0.00143,0.00675,0.00237,0.000779
"3",0.000177,5.23e-05,0.00175,0.0156,0.00185,5.2e-05,7.12e-05,0.000186,0.000377,0.00025,0.00462,0.000426,0.00015,5.35e-05,9.41e-05,0.00054,0.000264,0.000413,4.61e-05,0.00102,4.76e-05,5.82e-05,0.00243,0.000246,2.18e-05,0.000294,0.000765,9.85e-08,0.0148,0.00145,0.000114,0.000783,0.000353,0.0192,9.13e-05,0.00166,0.00446,0.000414,5.2e-05,0.00139,0.00224,0.00106,0.0019,0.00267,0.00292,6.14e-05,3.34e-05,0.000626,9.16e-07,0.00166,3e-04,0.00138,0.000258,0.00711,0.00577,0.0048,0.00414,0.0381,0.00164,4.49e-05,0.000206,0.00333,0.000825,0.000142,2.23e-16
"4",0.00128,9.78e-05,0.0122,0.0295,0.00661,0.00018,0.000248,0.00071,0.00196,0.00405,0.047,0.00305,0.017,1.63e-05,0.000266,0.00122,0.000348,0.0826,0.00111,0.0106,6.18e-05,0.000456,0.0214,0.000571,0.00124,0.000621,0.00172,5.61e-18,0.022,0.00497,0.000619,0.00272,0.00397,0.0356,0.000556,0.00628,0.0146,0.0019,0.00123,0.0216,0.0179,0.00185,0.00885,0.0074,0.0148,0.00133,0.00797,0.00207,0.00578,0.00964,0.0034,0.0119,3.89e-05,0.00797,0.0832,0.0212,0.00924,1.71e-05,0.000414,0.00117,0.023,0.00864,0.00558,0.0145,0.000444
"5",0.000312,0.000208,0.0225,0.0806169999999999,0.00743,0.00182,0.000455,0.00114,0.000109,0.0145,0.0401,0.0048,0.00318,0.000521,0.000618,0.00542,0.0014,0.0163,0.0418,0.0104,0.000295,0.000271,0.074,0.00132,0.0376,2.22e-16,0.00183,0.000151,0.0254,0.0148,0.00141,0.00507,0.00203,0.0542,0.000768,0.0107,0.00124,0.0027,0.00195,0.0299,0.0558,0.00322,0.380599,0.0101,0.0208,0.00238,0.0116,0.00663,2.84e-05,0.2377953,0.0156,0.0246,0.00118,0.229,0.0225,0.00698,0.0574,0.3346519,6.32e-05,0.00625,0.00248,0.0087,0.00618,0.00223,0.00118
"6",0.00179,9.53e-05,0.0257000000000001,0.0797,0.00614,0.00409,0.00024,0.00155,0.00309,0.00322,0.0388,0.00192,0.000202,0.00318,0.000986,0.00428,0.000968,0.0197,0.00505,0.00903,0.00116,4.11e-05,0.0196,0.000767,0.0989,0.0026,0.00443,0.00063,0.0349,0.00782,0.00151,0.00223,0.000109,0.0369,0.000388,0.0116,0.00492,0.00191,3.67e-05,0.033,0.0202,0.000814,0.0695,0.00906,0.0147,0.000919,0.0328,8.2e-05,0.0303,0.151,0.0072,0.00527,3.57e-05,0.0286,0.00289,0.00317,0.019,0.00355,0.00257,0.00375,0.00668,0.00394,0.00183,0.00593,0.000253
"7",9.32e-05,2.23e-16,0.00251,0.0245,0.00346,0.00165,2.23e-16,0.000408,0.00191,8.51e-05,0.00341,0.00137,4.64e-05,8.38e-05,9.2e-06,0.00117,4.33e-06,0.00138,6.62e-05,0.00174,2.22e-16,2.23e-16,0.012,0.000236,0.00743,0.00198,0.000136,0.00013,0.016,0.00128,0.000362,0.000266,2.22e-16,0.0148,0.000407,0.000329,1.66e-05,0.000371,0.000298,0.0022,0.0071,0.000747,0.051,0.00574,0.00254,0.000261,0.00188,2.56e-05,0.00374,0.0679,0.0045,0.000271,0.137,0.515662,5.18e-18,0.0043,0.0136,0.0677,0.00593,0.000641,6.72e-18,0.00107,0.00146,0.000815,0.000379
"8",2.23e-16,0.000421,0.0154,0.069,0.00649,0.0096,0.000372,0.00149,0.0135,0.000117,0.033,0.00306,0.0173,0.00833,0.00015,0.0011,2.22e-16,0.260438739999999,0.0287,0.00249,0.000137,0.000182,0.0363,3.44e-05,0.252457619999999,0.0191,0.00011,0.00058,0.0171,0.0126,0.00714,0.0031,0.000203,0.0519,0.000297,0.0279,0.00267,0.00253,0.00062,0.0825,0.0605,0.00177,0.184,0.00603,0.0147,0.00265,0.0211,5.22e-18,0.0867,0.194,0.0083,0.000682,0.000845,0.049,0.00115,0.00507,0.0188,0.00492,0.00553,2.84e-05,0.0713,0.00821,0.00196,0.00202,5.41e-05
"9",0.00158,8.62e-05,0.00713,0.0316,0.0102,0.000427,4.06e-05,0.000746,0.00105,0.000168,0.0242,0.00772,0.00121,0.000731,0.000165,0.00198,0.000949,0.00208,0.00229,0.00861,0.00178,0.000998,0.109,0.000814,0.0108,0.00214,0.00223,0.000337,0.0622,0.0135,0.000496,0.0108,0.000156,0.0972465300000001,0.000943,0.0131,0.00451,0.00441,0.00281,0.00987,0.0677,0.00204,0.012,0.00688,0.0142,0.00309,0.00771,0.0093,7.68e-18,0.00755,0.0072,0.0111,0.000752,0.00788,0.0142,0.00394,0.00824,0.000432,0.00519,0.000855,0.000217,0.00189,0.00274,0.103,0.000517
"10",0.000339,2.23e-16,0.0109,0.0348,0.00765,0.000913,0.000138,0.000215,0.000742,2.22e-16,0.0262,0.00668,0.000441,0.00255,0.000405,0.000417,0.000451,0.0224,0.00249,0.00425,0.00128,2.78e-06,0.0173,0.000272,0.00565,0.00707,0.00173,0.000541,0.128368,0.00647,0.000666,0.0124,0.00102,0.0903,0.000494,0.0215,0.00362,0.000968,0.000468,0.0502,0.0192,0.000629,0.00628,0.00695,0.0102,0.000723,0.0268,0.00169,0.00467,0.00573,0.003,0.00348,0.000346,0.00248,0.00758,0.00328,0.00732,0.00344,0.00913,0.000192,0.00734,0.000752,0.00108,0.129,0.000866
