C.A.in.ACA	C.A.in.ACC	C.A.in.ACG	C.A.in.ACT	C.A.in.CCA	C.A.in.CCC	C.A.in.CCG	C.A.in.CCT	C.A.in.GCA	C.A.in.GCC	C.A.in.GCG	C.A.in.GCT	C.A.in.TCA	C.A.in.TCC	C.A.in.TCG	C.A.in.TCT	C.G.in.ACA	C.G.in.ACC	C.G.in.ACG	C.G.in.ACT	C.G.in.CCA	C.G.in.CCC	C.G.in.CCG	C.G.in.CCT	C.G.in.GCA	C.G.in.GCC	C.G.in.GCG	C.G.in.GCT	C.G.in.TCA	C.G.in.TCC	C.G.in.TCG	C.G.in.TCT	C.T.in.ACA	C.T.in.ACC	C.T.in.ACG	C.T.in.ACT	C.T.in.CCA	C.T.in.CCC	C.T.in.CCG	C.T.in.CCT	C.T.in.GCA	C.T.in.GCC	C.T.in.GCG	C.T.in.GCT	C.T.in.TCA	C.T.in.TCC	C.T.in.TCG	C.T.in.TCT	T.A.in.ATA	T.A.in.ATC	T.A.in.ATG	T.A.in.ATT	T.A.in.CTA	T.A.in.CTC	T.A.in.CTG	T.A.in.CTT	T.A.in.GTA	T.A.in.GTC	T.A.in.GTG	T.A.in.GTT	T.A.in.TTA	T.A.in.TTC	T.A.in.TTG	T.A.in.TTT	T.C.in.ATA	T.C.in.ATC	T.C.in.ATG	T.C.in.ATT	T.C.in.CTA	T.C.in.CTC	T.C.in.CTG	T.C.in.CTT	T.C.in.GTA	T.C.in.GTC	T.C.in.GTG	T.C.in.GTT	T.C.in.TTA	T.C.in.TTC	T.C.in.TTG	T.C.in.TTT	T.G.in.ATA	T.G.in.ATC	T.G.in.ATG	T.G.in.ATT	T.G.in.CTA	T.G.in.CTC	T.G.in.CTG	T.G.in.CTT	T.G.in.GTA	T.G.in.GTC	T.G.in.GTG	T.G.in.GTT	T.G.in.TTA	T.G.in.TTC	T.G.in.TTG	T.G.in.TTT
HLS:1	52	40	7	34	39	18	11	29	80	20	7	30	64	52	21	105	12	6	4	13	7	9	5	21	8	6	3	6	12	17	1	18	37	26	464	39	43	41	251	46	41	52	279	37	51	53	179	43	23	21	10	37	9	11	13	13	4	6	5	13	29	7	2	41	58	20	33	86	17	16	22	18	35	17	19	30	27	17	21	37	9	8	6	12	2	3	6	14	8	5	4	10	13	4	14	43
HLS:10	18	6	0	12	12	6	1	8	12	5	0	10	22	20	1	42	2	0	0	3	3	2	2	1	0	2	0	6	3	1	0	6	5	11	90	11	7	5	39	6	10	9	65	4	10	6	36	8	7	6	1	15	3	3	1	3	3	1	5	2	11	2	1	15	21	7	5	32	5	3	6	3	6	5	4	11	9	4	4	23	2	1	3	6	1	1	2	1	2	0	0	3	2	4	1	21
HLS:11	27	12	6	20	20	7	1	20	31	12	0	15	28	14	6	45	13	3	0	5	2	2	2	4	0	5	0	1	6	4	0	8	20	14	217	13	16	20	116	19	15	21	119	17	15	24	89	15	20	11	6	23	5	2	1	8	4	8	1	7	11	4	6	33	48	19	19	67	9	6	7	10	10	7	7	14	13	11	3	30	5	0	1	4	2	2	3	7	2	1	2	5	10	9	3	27
HLS:12	9	5	3	4	9	5	0	2	9	7	5	5	7	7	2	7	7	6	3	7	4	7	5	4	5	3	3	7	1	5	0	5	26	18	37	24	12	16	40	15	16	12	27	16	12	17	30	20	10	3	5	6	0	1	5	3	2	4	4	3	6	0	3	2	37	8	43	27	9	10	17	9	13	11	9	16	19	11	10	21	5	3	8	6	2	4	5	11	0	0	3	2	5	3	5	13
HLS:13	4	9	2	6	6	4	2	2	13	3	3	1	8	8	1	4	5	8	1	6	5	4	3	7	0	1	0	5	6	4	2	9	25	17	40	14	17	11	42	23	10	6	31	17	18	19	29	17	4	8	6	2	3	3	2	3	1	1	5	0	2	4	1	3	30	6	27	21	7	8	19	13	11	3	12	7	11	12	6	10	7	4	5	7	2	0	3	3	1	0	3	3	1	10	3	6
HLS:14	4	5	3	4	4	1	1	4	2	3	2	1	2	4	0	5	3	2	1	5	4	3	1	2	2	7	1	0	2	4	0	6	8	12	26	9	12	6	23	13	3	5	21	9	15	7	10	5	3	4	4	3	1	0	0	2	1	6	4	1	1	2	2	2	16	7	16	9	4	3	10	7	5	2	1	2	5	3	6	10	1	2	4	1	1	3	2	3	2	1	4	0	0	1	1	5
HLS:15	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	1	1	0	1	2	4	3	3	4	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	1	1	5	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
HLS:16	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	3	1	4	1	2	2	4	0	2	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	4	2	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
HLS:17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLS:18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLS:2	25	25	4	12	12	10	0	13	38	8	2	25	31	31	6	44	9	9	1	10	4	3	3	5	1	0	1	5	6	6	1	17	30	8	242	24	20	23	117	16	27	14	159	25	16	28	84	20	6	7	5	11	8	8	9	9	1	5	4	4	11	2	3	14	29	10	22	33	7	10	6	14	12	15	7	19	9	15	8	17	0	2	8	5	2	1	4	5	4	0	2	3	12	5	3	14
HLS:20	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLS:21	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	1	0	0	1	0	0	0	1	0	8	6	1	15	0	0	0	1	1	0	0	7	4	3	1	22	10	9	0	29	0	0	0	1	2	0	0	2	3	1	0	25	1	2	1	2	0	0	0	0	1	1	0	4	4	2	0	17
HLS:3	43	21	9	29	36	16	1	28	81	21	12	50	91	74	7	88	10	9	3	9	3	3	4	10	4	6	0	6	11	10	4	20	34	30	454	28	35	38	208	42	35	51	282	39	48	46	178	31	25	12	16	28	9	5	3	17	6	2	4	9	29	7	6	33	49	16	26	68	13	18	19	21	22	20	20	35	30	17	17	44	6	5	10	7	4	2	5	8	4	4	4	13	10	1	8	40
HLS:4	37	17	1	22	42	13	4	25	40	17	8	37	48	29	10	56	17	8	0	16	9	8	2	7	4	3	1	7	17	7	2	24	48	36	295	32	32	30	157	38	26	34	201	27	28	36	97	28	31	16	10	31	8	5	7	14	5	3	4	5	25	8	4	40	52	21	32	109	20	11	15	15	29	25	13	32	23	22	16	70	8	4	6	11	3	6	6	10	5	0	3	3	8	17	9	48
HLS:5	38	20	5	25	28	13	3	21	53	26	7	32	44	35	7	73	13	10	1	10	6	7	0	7	9	7	1	6	6	9	0	16	33	22	353	29	24	28	155	37	22	35	205	30	28	29	111	24	17	15	9	33	6	6	12	13	2	3	4	6	28	4	3	43	43	20	30	66	9	11	16	11	20	12	22	17	16	15	13	53	5	4	11	7	1	5	4	8	3	2	6	7	14	11	4	39
HLS:6	21	6	2	18	17	11	3	11	42	11	3	11	31	28	6	40	7	5	1	11	3	1	0	4	4	3	1	7	3	4	0	14	29	12	175	15	21	20	84	23	18	24	93	19	23	14	89	19	9	12	8	21	2	4	3	4	2	2	2	6	17	5	3	18	38	13	11	45	10	6	8	16	14	11	9	25	15	10	7	29	5	1	2	12	2	1	3	4	4	2	4	4	5	3	4	34
HLS:7	45	29	6	29	35	18	3	19	48	36	10	41	46	56	16	72	14	8	3	10	6	9	1	8	5	6	0	2	10	7	1	21	47	23	369	24	40	37	173	41	37	36	237	40	34	45	141	30	39	24	20	55	3	7	5	9	8	7	2	11	34	9	5	56	61	21	17	103	8	14	11	14	31	14	18	26	23	21	14	61	7	5	10	6	1	8	8	9	1	3	6	12	11	10	5	55
HLS:8	32	11	1	23	23	8	2	12	39	14	5	25	45	37	4	56	3	5	0	5	3	4	1	8	2	7	0	2	7	3	1	13	18	9	191	19	20	22	110	21	18	21	135	25	32	21	78	23	13	11	7	16	3	6	5	9	2	4	0	5	17	6	2	25	43	12	8	52	8	5	10	12	13	11	8	18	8	12	5	24	5	4	3	7	2	2	4	2	1	2	1	6	8	4	2	15
HLS:9	55	17	6	27	43	16	4	25	72	20	10	44	59	51	14	81	15	5	1	5	7	6	1	6	5	7	2	7	12	11	0	15	49	33	384	28	30	29	166	21	30	32	195	28	42	46	138	30	26	20	11	37	10	10	6	17	4	4	8	10	21	10	4	46	64	23	30	82	9	16	15	18	22	12	9	20	18	17	13	49	10	4	10	14	4	3	13	13	1	5	4	7	16	10	12	52
PD28690:1	50	30	4	31	31	26	7	26	52	21	5	29	40	44	6	67	12	9	0	14	6	8	1	9	3	5	0	9	9	7	2	26	31	42	357	41	37	46	194	46	33	41	199	29	33	49	118	36	19	19	12	16	8	17	11	23	5	4	4	8	7	5	8	18	35	15	37	63	12	11	19	21	17	12	12	23	22	17	13	21	4	2	3	15	4	4	3	10	5	2	6	7	5	12	5	20
PD28690:10	82	51	11	45	64	45	4	43	117	43	6	73	88	83	14	146	11	10	5	19	9	10	4	15	9	10	0	10	14	19	2	20	82	44	654	54	49	68	351	59	80	74	421	64	69	70	264	66	38	25	17	49	18	22	23	35	7	14	17	11	34	11	10	49	79	31	36	115	33	29	35	24	37	31	12	41	42	26	24	70	6	7	12	20	7	4	13	8	3	2	9	9	15	8	12	43
PD28690:14	17	5	0	6	14	5	3	3	23	5	1	6	14	11	2	17	4	3	0	2	3	2	0	4	0	1	0	3	2	0	2	9	11	2	136	8	8	9	52	8	7	4	85	10	11	12	53	15	7	11	5	15	2	1	1	6	2	4	0	2	10	3	1	14	32	9	6	58	4	2	1	3	8	6	5	11	8	5	4	34	7	0	3	3	2	1	1	3	0	2	0	1	3	4	0	29
PD28690:15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD28690:17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD28690:18	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD28690:19	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD28690:2	54	25	7	29	41	20	4	29	65	17	16	30	59	37	14	77	12	7	2	8	2	6	3	6	0	7	1	7	6	9	1	17	36	31	333	34	40	37	202	36	38	46	195	25	34	39	125	38	18	7	11	32	7	15	10	13	5	6	4	15	19	11	1	19	25	20	22	37	16	17	13	14	13	17	13	12	25	23	14	19	5	4	11	9	5	5	10	8	2	2	7	4	8	6	4	12
PD28690:3	75	53	12	37	55	38	5	32	85	47	6	60	74	48	10	117	24	14	7	24	6	8	0	18	8	3	4	8	16	14	2	36	62	43	615	59	49	75	298	65	45	59	325	55	61	60	237	72	36	15	15	40	8	11	15	41	4	9	7	13	28	15	9	39	87	33	41	103	16	21	30	25	35	20	21	42	30	28	14	53	8	5	8	12	3	3	15	15	4	3	5	17	10	8	10	48
PD28690:4	57	36	2	28	42	35	6	30	58	30	14	35	54	44	15	75	13	11	2	8	7	4	4	9	3	4	4	4	6	6	2	26	67	50	522	60	60	75	272	60	46	72	340	52	49	52	206	44	16	11	15	27	10	12	10	12	5	4	3	8	27	6	11	31	55	20	37	49	17	16	19	13	21	23	20	46	20	26	19	25	11	5	7	12	2	5	10	13	4	1	8	5	10	16	11	26
PD28690:5	37	16	2	15	14	8	4	17	24	14	4	13	29	23	6	40	9	7	3	8	4	4	2	9	3	3	0	3	7	0	1	10	22	25	258	21	20	30	104	23	23	17	102	23	19	31	84	23	16	8	5	21	6	3	10	20	1	3	3	5	12	7	4	30	40	14	17	56	10	11	3	12	16	7	12	23	11	14	7	35	6	3	1	4	3	3	2	4	6	5	1	2	3	5	3	24
PD28690:6	17	7	0	4	5	1	2	8	8	5	0	7	13	10	1	12	3	4	0	1	2	1	0	2	0	1	0	2	1	1	0	3	7	1	73	6	1	3	36	7	5	5	52	6	2	6	18	6	6	8	2	5	1	5	1	5	5	2	0	2	1	0	3	8	26	9	10	22	2	3	1	1	4	6	1	4	2	3	4	6	1	1	2	1	0	0	1	0	0	1	0	2	2	1	2	12
PD28690:7	6	1	0	3	1	1	0	3	3	1	2	4	3	1	1	5	1	1	0	3	0	0	0	0	0	0	0	2	0	0	0	3	4	3	38	5	4	3	12	1	0	3	10	6	1	4	9	6	9	4	1	5	0	0	1	1	0	3	1	1	2	0	2	5	7	2	1	14	0	1	1	2	3	0	0	6	2	3	3	9	1	0	0	1	1	2	0	0	0	0	0	0	2	0	1	9
